Index,Cathode,O,N,B,S,P,SSA,PV,mic/mes,ID/IG,Elyte,Current collector,Active mass loading,PW,CD,Cs
130,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,1,86.8
131,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,2,70.5
132,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,3,59.2
133,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,4,51.8
134,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.1,84.5
135,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.2,63.4
136,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.4,50.7
137,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,0.5,45
138,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,1,34.5
139,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,2,24.5
140,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,3,19.7
141,SMC-900,15.17,1.8,0,0,0,225.2,0.1,6.714,1.08,2M ZnSO4,Titanium foil,2,1.8,4,17
142,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,0.2,153
143,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,0.5,125
144,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,1,110
145,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,2,98
146,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,5,84
147,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2,1.75,10,75
148,N-CNC,5.5,2.53,0,0,0,947,0.54,1,0.855,1M ZnSO4,stainless-steel foil,,1.6,0.5,117.9
149,N-CNC,5.5,2.53,0,0,0,947,0.54,1,0.855,1M ZnSO4,stainless-steel foil,,1.6,20,71
150,P-CNC,3.67,0,0,0,2.71,1175,0.71,1.367,0.858,1M ZnSO4,stainless-steel foil,,1.6,0.5,136.2
151,P-CNC,3.67,0,0,0,2.71,1175,0.71,1.367,0.858,1M ZnSO4,stainless-steel foil,,1.6,20,75.9
152,NP-CNC,10.41,2.37,0,0,2.1,899,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,,1.6,0.5,165.9
153,NP-CNC,10.41,2.37,0,0,2.1,899,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,,1.6,20,110.9
177,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,119.9
178,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,108.3
179,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,100.2
180,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,1,94.6
181,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,2,90.4
182,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,5,84.8
183,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,20,81.1
184,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,159.9
185,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,139.2
191,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,114.2
192,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,104.8
193,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,95.6
194,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,1,90
195,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,2,86.8
196,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,5,82.4
197,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,20,78.5
198,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,48.3
