O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,0.5,181
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,1,153.3
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,2,137.2
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,3,130.2
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,5,121.7
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,10,110.4
6.1,7.2,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,15,104
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,0.5,110
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,1,97.8
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,2,89.8
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,3,84.9
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,5,78.4
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,10,67.2
4.2,6.3,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,15,58.2
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,0.5,98
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,1,81.7
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,2,72.2
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,3,67
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,5,60.7
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,10,50.9
10.8,5.7,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,15,45.1
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.2,122.3
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.5,108.1
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,103.8
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,94.2
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,85.6
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,76
9.33,6.25,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,59.1
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.2,153.8
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.5,146.9
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,127.3
8,8.12,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,117
