O,N,B,S,P,SSA,PV,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,DV,Current density,Cs
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,49.9
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,5,50.4
15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2M ZnSO4,Ti foil,2,1.8,0.4,50.7
6.3,0,0,0,0,1886,0.93,2.444,1.04,1M ZnSO4,stainless-steel mesh,2,1.6,20,50.7
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,1,50.8
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,10,50.9
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.2,1.7,1,51.3
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,2,51.3
21.55,3.29,0,0,0,1140.8,0.86,0.157,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5,51.5
4.3,0,0,0,0,1655,0.81,2.522,1.05,1M ZnSO4,stainless-steel mesh,2,1.6,10,51.6
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,51.7
18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2M ZnSO4,Ti foil,2,1.8,4,51.8
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,20,51.9
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,52.1
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,3,52.7
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,20,52.8
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,0.1,52.9
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,53.2
5.49,2.86,1.36,0,0,1590.46,1.32,0.064516129,0.71,1M ZnSO4,stainless-steel ,1,1.6,10,53.2
6.96,0,0,0,0,829,0.49,0.581,0.852,1M ZnSO4,stainless-steel foil,,1.6,20,53.6
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.2,1.7,1,54.3
4.3,0,0,0,0,1655,0.81,2.522,1.05,1M ZnSO4,stainless-steel mesh,2,1.6,5,54.7
5.49,2.86,1.36,0,0,1590.46,1.32,0.064516129,0.71,1M ZnSO4,stainless-steel ,1,1.6,8,55.1
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,2,55.3
5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless-steel ,1,1.6,60,55.4
9.71,5.41,0,0,0,670,0.72,3.071,1.89,3M Zn(CF3SO3)2,stainless-steel mesh,,1.7,10,55.7
11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,1,56
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,2,56
6.3,0,0,0,0,1886,0.93,2.444,1.04,1M ZnSO4,stainless-steel mesh,2,1.6,10,56.4
3.37,0,0,0,0,3252.6,3.428,0.110463233,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,30,56.4
17.66,3.01,0,1.12,0,508,0.34,0.099,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,56.5
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,10,56.6
