Index,Cathode,O,N,B,S,P,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,Current collector,mact,DV,I/m,Cs
97,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,3,59.2
98,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,4,51.8
99,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,0.1,84.5
100,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,0.2,63.4
101,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,0.4,50.7
102,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,0.5,45
103,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,1,34.5
104,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,2,24.5
105,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,3,19.7
106,SMC-900,15.17,1.8,0,0,0,225.22,0.1,6.714,1.08,2,4,2,1.8,4,17
107,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1,1,2,1.75,0.2,153
108,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1,1,2,1.75,0.5,125
109,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1,1,2,1.75,1,110
110,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1,1,2,1.75,2,98
111,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1,1,2,1.75,5,84
112,CSAC,11.92,0,0,0,0,2228,1.07,1.488,1.5,1,1,2,1.75,10,75
113,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,0.1,119.9
114,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,0.2,108.3
115,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,0.5,100.2
116,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,1,94.6
117,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,2,90.4
118,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,5,84.8
119,AL-KNPC-700,9.64,3.44,0,0,0,1624,0.918,1.878,0.999,1,1,2,1.6,20,81.1
120,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,2,1.6,0.1,159.9
121,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,2,1.6,0.2,139.2
122,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,10,1.6,0.5,124.8
123,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,10,1.6,1,116
124,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,10,1.6,2,109.9
125,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,10,1.6,5,101.9
126,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.845,0.917,1,1,10,1.6,20,94
127,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,0.1,114.2
128,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,0.2,104.8
129,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,0.5,95.6
130,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,1,90
131,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,2,86.8
132,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,5,82.4
133,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,0.265,0.872,1,1,2,1.6,20,78.5
134,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,0.05,108.5
135,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,0.1,85.9
136,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,0.2,73.1
137,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,0.3,68.7
138,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,0.5,65
139,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,1,60.8
140,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,2,55.3
141,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,3,52.7
142,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,5,49.2
143,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,10,44.5
144,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,15,41.6
145,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2,5,2,1.8,20,41.6
146,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,0.2,104.9
147,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,0.5,91
148,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,1,84.9
149,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,2,78.2
150,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,3,74.2
151,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,4,70.8
152,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,5,68.5
153,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,10,60.3
154,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,15,56.5
155,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.210 ,0.82,2,1,2.5,1.6,20,52.1
