O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,15,58.4
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,20,57.1
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,0.1,133.7
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,0.2,102.5
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,0.5,84.3
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,1,75
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,2,69.1
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,5,61.7
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,10,56.6
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,20,51.9
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,50,45.6
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,100,39.7
11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel,2,1.6,200,30.6
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,0.1,104.4
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,0.2,83
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,0.5,69.7
14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel,2,1.6,1,61.7
