O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,1,97.8
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,2,89.8
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,3,84.9
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,5,78.4
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,10,67.2
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,15,58.2
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,0.5,98
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,1,81.7
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,2,72.2
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,3,67
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,5,60.7
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,10,50.9
10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel,1,1.6,15,45.1
20.56,9.77,0,0,0,361.28,0.276,,0.853,1.5M Zn(CF3SO3)2,stainless-steel,2,1.8,0.1,145.5
20.56,9.77,0,0,0,361.28,0.276,,0.853,1.5M Zn(CF3SO3)2,stainless-steel,2,1.8,0.5,79
20.56,9.77,0,0,0,361.28,0.276,,0.853,1.5M Zn(CF3SO3)2,stainless-steel,2,1.8,1,69.5
20.56,9.77,0,0,0,361.28,0.276,,0.853,1.5M Zn(CF3SO3)2,stainless-steel,2,1.8,2.5,55.75
20.56,9.77,0,0,0,361.28,0.276,,0.853,1.5M Zn(CF3SO3)2,stainless-steel,2,1.8,5,50.15
20.56,9.77,0,0,0,361.28,0.276,,0.853,1.5M Zn(CF3SO3)2,stainless-steel,2,1.8,10,47.4
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,0.1,79.4
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,0.2,70.3
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,0.5,59.8
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,1,50.8
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,2,41.6
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,5,28.8
11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless-steel,,1.6,10,22.9
8.39,9.34,0,0,0,245.3,,0.543,0.93,2M ZnSO4,freestanding,2.75,1.6,0.1,175.3
8.39,9.34,0,0,0,245.3,,0.543,0.93,2M ZnSO4,freestanding,2.75,1.6,50,93.1
5.46,6.97,0,0,0,279.4,,1.188,0.88,2M ZnSO4,freestanding,2.75,1.6,0.1,140.5
5.46,6.97,0,0,0,279.4,,1.188,0.88,2M ZnSO4,freestanding,2.75,1.6,50,41.7
4.68,5.02,0,0,0,166.6,,0.408,0.83,2M ZnSO4,freestanding,2.75,1.6,0.1,117.4
4.68,5.02,0,0,0,166.6,,0.408,0.83,2M ZnSO4,freestanding,2.75,1.6,50,58.3
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.2,97.8
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.4,79.8
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.5,74.6
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.8,64.1
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,1,59.7
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,2,46
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,4,30.9
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,5,27.5
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,6,25
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,8,19.9
3.66,0,0,0,0,782.95,,,1.12,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,10,16.5
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.2,107.3
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.4,87.4
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.5,81.4
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,0.8,70
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,1,64.7
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,2,49.7
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,4,34.4
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,5,30.3
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,6,27.2
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,8,24.3
3.61,0,0,1.26,0,818.17,,,1.15,2M ZnSO4 + 0.1M MgSO4,Titanium mesh,1,2,10,22
