O,N,S,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,mact,DV,I/m,Cs
4.89,1.74,0,1666.8,2.42,0.136,0.88,2,2.5,1.6,30,73.3
4.89,1.74,0,1666.8,2.42,0.136,0.88,2,2.5,1.6,40,68.8
4.89,1.74,0,1666.8,2.42,0.136,0.88,2,2.5,1.6,50,65.2
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,0.2,67.8
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,0.5,59.8
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,1,56.8
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,2,53.2
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,3,51.7
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,4,49.9
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,5,49.2
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,10,45.5
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,15,43.7
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,20,41.1
6.42,2.75,0,1301.6,3.04,0.074,0.92,2,2.5,1.6,30,37.4
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.05,181.67
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.1,132.7
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.2,116.9
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.3,106.1
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,0.5,98.3
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,1,91.1
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,2,84.9
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,3,81.9
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,5,78.2
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,10,73.5
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,15,68.9
11.57,0,0,2085.1,1.72,0.194,0.86,2,2,1.6,20,66.71
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,0.1,52.9
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,0.2,48.7
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,0.5,43.8
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,1,40
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,2,36.5
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,5,31.4
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,10,26.9
4.77,0,0,1644,0.96,1.33,1.06,1,1.945,1.6,20,21.4
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,0.1,98.4
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,0.5,64.3
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,1,54.3
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,2,45.1
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,3,40.3
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,4,36.7
10.72,2.83,0.63,909,0.44,13.667,0.93,1,1.35,1.7,5,33.7
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,0.1,161.7
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,0.5,75.6
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,1,60.2
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,2,49.2
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,3,43.3
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,4,39.7
10.72,2.83,0.63,909,0.44,13.667,0.93,2,1.35,1.7,5,36.5
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,0.1,104
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,0.5,62.4
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,1,51.3
10.72,2.83,0.63,909,0.44,13.667,0.93,3,1.35,1.7,2,43.1
